date,action,cash_in,shares_bought,price,shares,cash,total_value
2016-03-31,buy,1000.0,29.288745937022224,34.14280700683594,17612.808448211967,0.0,601350.7196956708
2016-04-30,buy,1000.0,30.328233854488015,32.97257614135742,17643.136682066455,0.0,581739.6676218123
2016-05-31,buy,1000.0,30.464240798403342,32.82537078857422,17673.600922864858,0.0,580142.5034623265
2016-06-30,buy,1000.0,29.745520481930445,33.618507385253906,17703.34644334679,0.0,595160.0831493625
2016-07-31,buy,1000.0,30.904522938895827,32.357723236083984,17734.250966285686,0.0,573839.9845663272
2016-08-31,buy,1000.0,31.046851796121913,32.20938491821289,17765.29781808181,0.0,572209.3156092847
2016-09-30,buy,1000.0,31.602972230219088,31.642593383789062,17796.90079031203,0.0,563140.0951994777
2016-10-31,buy,1000.0,31.543343489242922,31.702409744262695,17828.444133801273,0.0,565204.6410324646
2016-11-30,buy,1000.0,32.86805240577646,30.424680709838867,17861.31218620705,0.0,543424.7203241036
2016-12-31,buy,1000.0,31.988072806593294,31.26165199279785,17893.300259013646,0.0,559374.1256999243
2017-01-31,buy,1000.0,31.903438743660924,31.34458351135254,17925.203697757308,0.0,561858.0442623593
2017-02-28,buy,1000.0,31.606910273927802,31.63865089416504,17956.810608031235,0.0,568129.2620001397
2017-03-31,buy,1000.0,30.976014338506637,32.283042907714844,17987.786622369742,0.0,580700.4873447814
2017-04-30,buy,1000.0,30.46634388532352,32.82310485839844,18018.252966255066,0.0,591415.0064765387
2017-05-31,buy,1000.0,28.911862296315046,34.5878791809082,18047.16482855138,0.0,624213.156647871
2017-06-30,buy,1000.0,29.07227756536976,34.397029876708984,18076.23710611675,0.0,621768.8677975734
2017-07-31,buy,1000.0,28.444413580280404,35.156288146972656,18104.68151969703,0.0,636493.4003156397
